assists,back_passes,blocked_passes,blocked_shots,clearances,crosses,diagonal_passes,dribbles,fouls,foulsconceded,goals,id,interceptions,key_passes,lateral_passes,long_passes,minutesPlayed,name,offsides,passes,position,possession_time,red_cards,saves,season,short_passes,shots,shots_on_target,succ_long_passes,succ_passes,succ_short_passes,tackles,through_passes,touches,yellow_cards
0,8,1,1,2,2,14,1,5,0,0,1455,2,0,4,5,90,吕建军,0,35,中场,165,0,0,2014,30,1,0,4,28,24,1,9,25,1
0,5,1,0,3,0,18,0,2,0,0,1457,5,0,12,1,73,伊格莱西亚斯,0,39,中场,167,0,0,2014,38,1,0,0,31,31,1,4,32,1
0,22,3,0,1,5,17,10,0,0,0,1022,1,3,11,0,90,于汉超,0,54,中场,214,0,0,2014,54,3,1,0,43,43,0,4,44,1
0,5,0,0,6,0,22,0,1,0,0,1142,12,0,12,1,90,贝克曼,0,49,后卫,138,0,0,2014,48,0,0,1,46,45,0,10,27,0
0,2,0,0,0,0,3,0,0,2,0,1061,0,0,0,0,26,韩鹏,1,5,前锋,15,0,0,2014,5,1,1,0,4,4,0,0,4,0
0,3,0,1,0,0,6,0,1,0,0,1065,0,1,1,0,10,阿洛伊西奥,0,11,前锋,108,0,0,2014,11,5,2,0,9,9,0,1,10,0
0,14,0,1,1,1,30,0,1,1,0,1158,3,4,17,2,90,于大宝,0,70,中场,215,0,0,2014,68,1,0,1,59,58,3,9,38,0
0,10,2,0,1,2,13,0,1,0,0,1459,7,0,10,4,90,张笑飞,0,36,中场,178,0,0,2014,32,0,0,2,28,26,1,3,30,0
0,5,2,0,4,0,6,0,1,0,0,1478,5,0,0,4,90,桑科,0,15,后卫,79,0,0,2014,11,0,0,2,10,8,0,4,6,0
1,17,3,0,1,3,14,0,2,0,0,1162,1,1,3,3,90,孙铂,0,41,中场,140,0,0,2014,38,2,0,0,28,28,1,7,33,0
0,0,0,0,0,0,3,0,0,0,0,1299,0,0,0,2,90,张鹭,0,5,门将,135,0,1,2014,3,0,0,0,3,3,0,2,4,0
0,0,0,0,0,0,11,0,0,0,0,1240,0,0,1,5,90,耿晓锋,0,16,门将,124,0,1,2014,11,0,0,2,13,11,0,4,10,0
0,13,3,0,1,9,18,0,1,0,0,1015,2,1,7,3,90,李学鹏,0,42,后卫,170,0,0,2014,39,1,0,1,34,33,1,4,36,0
0,2,2,1,5,0,8,0,0,0,0,1479,8,0,6,2,90,顾操,0,20,后卫,62,0,0,2014,18,1,0,1,12,11,5,4,6,0
0,7,0,0,2,1,13,3,1,0,0,1165,2,0,6,4,90,赵宏略,0,36,前锋,159,0,0,2014,32,0,0,1,25,24,1,10,30,0
0,8,0,1,0,1,2,0,7,0,0,1166,0,1,3,0,90,本科,0,16,前锋,70,0,0,2014,16,4,2,0,12,12,0,3,20,0
0,9,0,1,0,0,7,2,2,0,0,1464,0,2,2,1,90,贝奇拉耶,1,19,前锋,82,0,0,2014,18,3,0,1,14,13,1,1,20,0
0,17,0,0,0,13,17,0,0,1,1,1167,0,4,15,1,90,布鲁诺,0,52,前锋,196,0,0,2014,51,6,2,0,37,37,1,3,49,0
0,16,1,0,0,0,5,1,0,0,0,1467,1,2,1,0,90,刘卫东,2,22,前锋,92,0,0,2014,22,1,1,0,20,20,1,0,18,1
0,2,0,0,0,0,3,0,1,0,0,1456,0,0,3,1,18,蒋哲,0,9,中场,41,0,0,2014,8,0,0,1,8,7,0,1,7,1
0,3,0,0,0,1,4,0,0,0,0,2233,0,0,3,0,17,拉斐尔,0,10,前锋,37,0,0,2014,10,1,0,0,5,5,0,0,13,0
0,0,0,0,0,0,4,0,0,0,0,1172,0,0,0,0,90,程月磊,0,5,门将,57,0,3,2014,5,0,0,0,5,5,0,1,2,0
0,0,0,0,1,0,12,0,0,0,0,1207,0,0,0,9,90,刘殿座,0,15,门将,146,0,4,2014,6,0,0,4,10,6,0,3,8,0
0,6,0,0,1,0,5,0,0,3,0,1209,0,0,5,1,90,姜嘉俊,0,18,后卫,86,0,0,2014,17,0,0,0,15,15,4,2,16,1
0,16,1,0,2,6,15,0,2,1,0,1211,3,0,4,3,90,孙凯,0,43,后卫,204,0,0,2014,40,0,0,1,33,32,3,8,33,1
0,4,0,0,4,0,13,0,1,0,0,1177,1,0,7,4,90,张耀坤,0,31,后卫,122,0,0,2014,27,0,0,3,28,25,0,7,18,1
0,7,1,1,1,0,33,0,0,0,0,1212,3,0,9,6,90,唐佳庶,0,66,后卫,224,0,0,2014,60,3,0,5,59,54,2,17,45,0
0,3,2,0,9,0,18,0,1,1,0,1179,7,1,11,8,90,张贤秀,0,40,后卫,162,0,0,2014,32,0,0,6,36,30,3,8,22,0
0,8,2,1,1,1,7,0,0,1,0,1213,0,0,2,3,58,葛振,0,19,后卫,96,0,0,2014,16,2,1,1,13,12,2,2,20,1
0,9,0,0,0,0,13,0,0,0,0,1182,1,0,4,4,61,朱宝杰,0,31,后卫,102,0,0,2014,27,0,0,1,24,23,0,5,23,0
0,0,0,0,0,0,2,0,0,0,0,1104,0,0,0,1,90,张烈,0,2,门将,77,0,1,2014,1,0,0,1,2,1,0,0,3,0
0,7,1,0,6,0,18,0,1,1,0,1143,7,0,13,6,90,晋鹏翔,0,48,后卫,169,0,0,2014,42,2,1,3,39,36,2,10,31,0
0,7,2,0,4,1,13,0,4,0,0,1480,4,0,1,5,90,谭望嵩,0,28,后卫,115,0,0,2014,23,0,0,1,19,18,1,7,13,0
0,10,1,0,2,4,21,0,3,1,0,1489,1,0,7,4,90,买提江,0,43,后卫,135,0,0,2014,39,1,0,3,34,31,1,5,37,0
0,0,0,0,0,0,3,0,0,0,0,1474,0,0,1,5,90,周亚君,0,7,门将,136,0,4,2014,2,0,0,2,3,1,0,3,6,0
0,2,0,0,7,0,12,0,1,0,0,1478,7,0,5,1,90,桑科,0,24,后卫,101,0,0,2014,23,0,0,1,20,19,2,5,7,0
0,2,1,0,5,0,12,0,1,2,0,1479,9,0,7,2,90,顾操,0,26,后卫,84,0,0,2014,24,0,0,0,19,19,2,5,7,0
0,17,1,1,1,0,15,0,3,1,0,1216,4,0,7,4,73,侯俊杰,0,44,中场,149,0,0,2014,40,1,0,2,41,39,0,5,33,0
0,9,0,0,1,3,20,0,5,0,0,1187,4,3,13,8,90,朴钟佑,0,49,中场,203,0,0,2014,41,1,0,6,41,35,5,7,44,0
0,8,0,0,4,0,12,0,2,1,0,1189,3,0,5,8,90,姜至鹏,0,38,中场,237,0,0,2014,30,0,0,3,28,25,3,13,26,0
0,12,0,0,2,0,28,0,0,2,0,1221,5,0,8,2,90,于涛,0,54,中场,177,0,0,2014,52,0,0,0,42,42,2,6,39,0
0,14,1,0,0,6,16,0,3,6,0,1223,1,4,6,4,90,王赟,0,48,中场,209,0,0,2014,44,3,0,2,35,33,1,12,37,0
0,5,2,0,1,1,25,0,1,1,0,1490,7,1,3,8,90,李磊,0,43,中场,136,0,0,2014,35,1,0,4,33,29,6,10,24,0
0,15,1,0,2,0,16,0,2,2,0,1106,6,0,4,1,90,张成林,0,40,后卫,181,0,0,2014,39,1,1,0,31,31,2,5,28,0
0,5,0,0,5,0,34,0,1,1,0,1244,5,0,12,4,90,曹秉局,0,57,后卫,226,0,0,2014,53,0,0,2,51,49,1,6,44,0
0,0,0,0,0,0,10,0,0,0,0,1406,0,0,0,8,90,关震,0,16,门将,86,0,3,2014,8,0,0,6,13,7,0,6,11,0
0,0,0,0,0,0,6,0,0,0,0,1474,0,0,0,7,90,周亚君,0,11,门将,150,0,4,2014,4,0,0,1,3,2,0,5,6,0
0,0,0,0,2,0,7,0,0,2,0,1406,0,0,1,3,90,关震,0,11,门将,66,0,0,2014,8,0,0,2,10,8,0,3,6,0
0,5,2,0,6,0,16,0,2,2,0,1478,5,0,3,5,90,桑科,0,26,后卫,140,0,0,2014,21,0,0,3,21,18,4,2,11,0
0,0,0,0,0,0,3,0,0,0,0,1371,0,0,0,1,90,顾超,0,3,门将,122,0,1,2014,2,0,0,0,2,2,0,0,1,0
0,0,0,0,1,0,4,0,0,0,0,1172,0,0,1,0,90,程月磊,0,6,门将,108,0,3,2014,6,0,0,0,5,5,0,1,0,0
0,1,0,0,5,0,10,0,1,0,0,1177,5,0,0,5,90,张耀坤,0,17,后卫,61,0,0,2014,12,1,1,1,9,8,0,6,4,1
0,1,0,0,8,0,9,0,0,0,0,1375,6,0,2,8,90,石柯,0,19,后卫,139,0,0,2014,11,1,0,0,5,5,3,7,4,0
0,0,2,1,1,1,7,0,2,1,0,1381,2,0,1,4,90,曹海清,0,15,后卫,72,0,0,2014,11,1,0,0,7,7,1,7,6,0
1,4,0,0,3,2,13,0,4,2,0,1193,3,0,6,2,67,唐淼,0,33,中场,139,0,0,2014,31,0,0,1,26,25,1,10,24,0
0,11,1,0,1,0,37,0,0,0,0,1151,8,0,15,4,90,吕鹏,0,71,中场,165,0,0,2014,67,1,1,3,58,55,5,8,54,0
0,7,0,0,2,0,7,0,0,1,0,1303,5,0,1,2,90,吴高俊,0,20,后卫,96,0,0,2014,18,0,0,2,16,14,5,5,16,1
0,10,1,1,2,4,8,0,4,3,0,1245,1,0,6,7,90,李文博,0,31,后卫,141,0,0,2014,24,1,0,2,21,19,2,7,28,1
0,3,1,0,1,1,17,0,2,1,0,1480,4,0,8,3,90,谭望嵩,0,34,后卫,142,0,0,2014,31,1,0,1,24,23,1,6,28,0
0,19,1,0,2,1,18,0,3,2,0,1246,5,0,10,6,90,柏佳俊,0,60,后卫,238,0,0,2014,54,0,0,1,48,47,1,13,48,0
0,0,0,0,1,0,10,0,0,0,0,1513,0,0,0,3,90,韩方腾,0,12,门将,124,0,0,2014,9,0,0,2,11,9,0,2,5,0
0,4,3,0,4,0,20,0,2,3,2,1409,2,0,8,6,90,埃雷尔森,0,45,后卫,182,0,0,2014,39,3,2,3,39,36,4,13,30,0
0,3,0,0,12,0,8,0,1,1,0,1479,2,0,1,1,90,顾操,0,18,后卫,73,0,0,2014,17,0,0,0,12,12,1,6,13,0
0,21,1,0,2,3,17,1,1,1,0,1410,3,2,9,5,90,周云,0,57,后卫,208,0,0,2014,52,0,0,3,49,46,1,10,45,0
0,2,1,0,2,2,21,0,0,4,0,1480,5,1,6,3,90,谭望嵩,0,39,后卫,163,0,0,2014,36,2,1,1,30,29,5,10,25,0
