id,season,assists,back_passes,blocked_passes,blocked_shots,clearances,crosses,diagonal_passes,dribbles,fouls,foulsconceded,goals,interceptions,key_passes,lateral_passes,long_passes,minutesPlayed,offsides,passes,possession_time,red_cards,saves,short_passes,shots,shots_on_target,succ_long_passes,succ_passes,succ_short_passes,tackles,through_passes,touches,yellow_cards,rating
1423,2017,0,7.70588235294118,.411764705882353,.352941176470588,.352941176470588,.529411764705882,17.5882352941176,.0588235294117647,1.52941176470588,.705882352941177,0,1.11764705882353,.294117647058824,5.58823529411765,4,61.7647058823529,0,36.8235294117647,109.764705882353,0,0,32.8235294117647,.117647058823529,.0588235294117647,2.05882352941176,29.3529411764706,27.2941176470588,1.05882352941176,5.94117647058824,26.7058823529412,.294117647058824,6.20096813797062
1423,2018,0,5.66666666666667,0,0,.666666666666667,0,11.6666666666667,.333333333333333,1.33333333333333,0,0,0,0,1.66666666666667,3.33333333333333,27,0,22.3333333333333,64.3333333333333,0,0,19,1,.333333333333333,1.66666666666667,18.6666666666667,17,.333333333333333,3.33333333333333,17,.333333333333333,5.81288780506292
1424,2014,0,5.5,.333333333333333,.166666666666667,0,.5,5.5,0,0,.166666666666667,0,.5,0,2.5,.166666666666667,30,0,14.6666666666667,46.5,0,0,14.5,1,.166666666666667,.166666666666667,12.8333333333333,12.6666666666667,0,1.16666666666667,12.8333333333333,0,5.55465933056188
1424,2015,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,5,0,0,1,0,0,0,1,1,0,0,1,0,5.14706199174302
1425,2014,0,20,1,0,0,3,11,0,1,1,0,2,1,8,5,82,0,48,174,0,0,43,0,0,4,38,34,2,9,40,0,6.57201543335172
1425,2015,0,7.25,.3,0,1.35,.7,13.2,.1,.6,.75,.05,2.05,.15,6.65,1.45,71.35,0,31.6,96.9,0,0,30.15,.2,.1,.6,26,25.4,1.8,4.5,24.3,0,6.0683518292664
1425,2016,0,6,.714285714285714,.107142857142857,1.28571428571429,.464285714285714,15,.392857142857143,.928571428571429,.428571428571429,.0357142857142857,1.53571428571429,.392857142857143,6.60714285714286,1.92857142857143,71.4642857142857,0,31.2142857142857,85.4642857142857,0,0,29.2857142857143,.0357142857142857,.0357142857142857,1.10714285714286,26.25,25.1428571428571,1.35714285714286,3.60714285714286,24.1785714285714,.142857142857143,6.05556860322644
1425,2017,.0454545454545455,3.81818181818182,.863636363636364,.409090909090909,2.13636363636364,.545454545454545,12.9545454545455,.636363636363636,.590909090909091,.409090909090909,0,1.13636363636364,.181818181818182,3.40909090909091,3.18181818181818,76.7727272727273,0,26.3181818181818,84.0909090909091,0,0,23.1363636363636,.181818181818182,0,1.09090909090909,19.5454545454545,18.4545454545455,1.09090909090909,6.13636363636364,16.6818181818182,.0454545454545455,5.93870187212241
1425,2018,.0714285714285714,5.5,.642857142857143,.357142857142857,1.07142857142857,.285714285714286,10.7857142857143,.214285714285714,.928571428571429,.214285714285714,.0714285714285714,.785714285714286,.142857142857143,4.71428571428571,1.21428571428571,58.5,0,24.3571428571429,67.5,0,0,23.1428571428571,.214285714285714,.142857142857143,.428571428571429,18.8571428571429,18.4285714285714,1.21428571428571,3.35714285714286,17.7857142857143,.0714285714285714,5.86765229043921
1428,2014,0,8.47826086956522,.869565217391304,.217391304347826,1.34782608695652,1.65217391304348,9.52173913043478,.217391304347826,1.69565217391304,.91304347826087,.0434782608695652,1.65217391304348,.652173913043478,3.26086956521739,2.47826086956522,59,.0434782608695652,23.9565217391304,106,.0434782608695652,0,21.4782608695652,.826086956521739,.304347826086957,1.26086956521739,17.695652173913,16.4347826086957,1.69565217391304,2.69565217391304,20.5652173913043,.0869565217391304,6.05474682653205
1428,2015,.0344827586206897,6.20689655172414,.827586206896552,.103448275862069,2.51724137931034,2.62068965517241,13.2413793103448,.0344827586206897,1,1.06896551724138,0,2.75862068965517,.655172413793103,4.58620689655172,4.37931034482759,73.1724137931034,0,29.4827586206897,135.275862068966,0,0,25.1034482758621,.551724137931034,.137931034482759,1.48275862068966,20.6551724137931,19.1724137931034,2,5.44827586206897,22.551724137931,.103448275862069,6.138324711598
1428,2016,.214285714285714,10.1428571428571,1.03571428571429,.285714285714286,.857142857142857,2.82142857142857,9.85714285714286,1.25,1.64285714285714,1.03571428571429,.178571428571429,.857142857142857,.714285714285714,5.03571428571429,2.57142857142857,76.6785714285714,.0714285714285714,28.0357142857143,101.5,0,0,25.4642857142857,1.39285714285714,.392857142857143,.714285714285714,19.3214285714286,18.6071428571429,2,3,22.9285714285714,.285714285714286,6.1771000775089
1428,2017,.0769230769230769,7.19230769230769,1.03846153846154,.0384615384615385,.769230769230769,.961538461538462,8.53846153846154,.961538461538462,1.88461538461538,1.26923076923077,.0769230769230769,.461538461538462,.538461538461538,3.53846153846154,1.80769230769231,67.3076923076923,.0769230769230769,21.9230769230769,79.0769230769231,0,0,20.1153846153846,1.07692307692308,.346153846153846,.884615384615385,14.3846153846154,13.5,1.80769230769231,2.65384615384615,16.5384615384615,.230769230769231,5.9562023957737
1428,2018,.272727272727273,9.31818181818182,1.27272727272727,.181818181818182,2.13636363636364,5.27272727272727,16.1363636363636,1.72727272727273,1.31818181818182,1.04545454545455,.0909090909090909,1.04545454545455,1.5,4.81818181818182,6.81818181818182,83.5909090909091,0,36.5909090909091,165.545454545455,0,0,29.7727272727273,1.31818181818182,.318181818181818,2.81818181818182,24.7727272727273,21.9545454545455,2.04545454545455,6.31818181818182,28.3636363636364,.227272727272727,6.46121504207607
1431,2014,0,8.26086956521739,.521739130434783,.0869565217391304,.434782608695652,.782608695652174,16.0869565217391,.0434782608695652,.478260869565217,.869565217391304,.0434782608695652,1.8695652173913,.826086956521739,6.21739130434783,2.30434782608696,63.304347826087,.0434782608695652,34.3913043478261,115.565217391304,0,0,32.0869565217391,.565217391304348,.260869565217391,1.47826086956522,30,28.5217391304348,1.43478260869565,3.82608695652174,26.8260869565217,.260869565217391,6.19008897953036
1431,2015,0,7.5,1,.125,1.375,.25,13.875,0,1.625,.5,0,2.5,.25,5.75,1.125,64.625,0,31.25,81.75,0,0,30.125,.25,0,.5,26.125,25.625,2,4.125,21,0,6.04325776443615
